date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
NA,NA,NA,NA,NA,NA,NA
1996161,1237.3842444,1228.6010073,95.1764087,5531,1457,732
1996177,1281.548568,1277.6506499,107.3679379,5531,1556,781
1996193,1201.2973619,1184.4816346,94.7579782,5531,1379,750
1996209,1185.4966144,1159.4153139,101.044278,5531,1303,665
1996225,1157.5748155000001,1133.516334,99.3381322,5531,1262,635
1996241,1021.5004857,999.1407051,87.40677,5531,1106,568
1996257,1117.4232006,1090.6855182,96.9202219,5531,1223,597
1996273,746.580493,732.0704004,68.8619736,5531,854,371
1996289,604.3679903,603.0181136,67.1929879,5531,799,324
1996305,212,217.4003538,35.3626818,5531,355,105
1996321,157,165.4324856,35.1178122,5531,288,78
1996337,190.4856914,202.0379465,44.7616881,5531,343,97
1996353,151,159.29174510000001,35.2057473,5531,271,79
1997001,135,144.4845128,38.0811237,5531,264,59
1997017,120,129.9315927,34.232537,5531,242,55
1997033,176.5612041,189.7387795,44.3653652,5531,329,84
1997049,320.3841902,338.9048159,72.6111247,5531,578,158
1997065,449.5683775,464.3799733,82.698175,5531,728,203
1997081,689.5134045,690.167618,93.1945839,5531,930,342
1997097,913.4222355,895.9261092,85.9849188,5531,1047,510
1997113,1213.4520025,1186.8583821,106.0093289,5531,1355,642
1997129,1337.4829744,1329.3136179,111.8729586,5531,1594,793
1997145,1125.4048171,1100.2180472,96.3309056,5531,1233,606
1997161,1205.6412696,1197.2856197,94.8255842,5531,1439,699
1997177,1137.4374535,1131.8430361,98.7937112,5531,1392,690
1997193,1081.5546911,1082.2150037,93.3578034,5531,1340,726
1997209,1153.4094933,1140.6670825,90.9937184,5531,1387,735
1997225,1093.4758819,1084.2690821,89.6774273,5531,1312,682
1997241,1053.4029914,1033.0315815,86.2399566,5531,1182,622
1997257,872.4267958,853.8667239,74.3127908,5531,981,482
1997273,846.5326641,832.6448061,73.0832153,5531,1001,498
1997289,488.45409540000003,481.001232,55.0850429,5531,594,206
1997305,286.4799298,288.7855105,44.9761412,5531,436,130
1997321,185,194.6300708,40.4687114,5531,333,93
1997337,139,147.7944333,33.4638889,5531,253,65
1997353,113,119.5520237,27.0000331,5531,205,50
1998001,188,197.9833312,42.7821295,5531,324,92
1998017,150,160.7881462,37.5102196,5531,281,73
1998033,147,158.7120857,37.6203782,5531,279,73
1998049,286.5601051,305.4539613,67.6665545,5531,529,138
1998065,214.4494426,226.8698008,47.1984503,5531,388,111
1998081,593.5875701,603.3354368,80.5226619,5531,896,322
1998097,981.5795717,956.2480598,96.1433185,5531,1108,467
1998113,1325.6040369,1289.2771211,125.1608391,5531,1409,626
1998129,1337.5696321,1305.9962358,108.5645417,5531,1434,722
1998145,1357.5949043,1339.2148264,107.1778851,5531,1500,796
1998161,1237.5899158,1236.2658776,99.008068,5531,1496,752
1998177,1189.611278,1187.7954078,104.8189382,5531,1481,690
1998193,1117.5711373,1106.3755389,92.9417466,5531,1377,687
1998209,1265.4917841,1246.9718493,100.3945536,5531,1474,757
1998225,1185.4751679,1172.6330761,94.5854193,5531,1397,703
1998241,1085.3823921,1079.4844972,90.8110987,5531,1281,654
1998257,1009.4439548,990.1958162,92.8553524,5531,1176,560
1998273,849.5380138,831.2039347,81.5312159,5531,963,450
1998289,596.5396659,594.8244288,71.7202561,5531,792,295
1998305,282.512794,288.3477102,50.0890943,5531,450,130
1998321,302.5599347,317.3875279,64.2330153,5531,535,137
1998337,222.5194303,234.3440241,47.3420502,5531,387,109
1998353,83,88.5554431,21.6246585,5531,155,37
1999001,107,114.9941548,30.2919965,5531,214,44
1999017,240.4928849,258.3445936,59.6470518,5531,446,123
1999033,214.5553091,238.7160364,65.5715792,5531,451,105
1999049,174.4850824,194.8156493,53.6667371,5531,370,85
1999065,284.4853549,296.3075429,49.5294352,5531,460,120
1999081,745.3350131,727.4340943,89.870936,5531,891,281
1999097,1089.440355,1061.3011814,122.1640288,5531,1262,374
1999113,1153.4049701,1120.5022073,113.3390811,5531,1247,457
1999129,1517.5531766,1478.3759056,133.6520451,5531,1640,721
1999145,1445.6548319,1430.6514415,114.5203069,5531,1688,789
1999161,1393.5568645,1363.164683,120.477692,5531,1508,739
1999177,1221.5016973,1199.2838643,109.321594,5531,1387,510
1999193,1219.4804735,1208.3634066,115.5489789,5531,1440,433
1999209,1025.5731933,1056.1878971,136.5222747,5531,1471,503
1999225,1205.3866633,1186.8155982,97.960964,5531,1365,589
1999241,1165.5933495,1140.5627756,95.5237565,5531,1292,644
1999257,1189.3976437,1159.0307771,116.3746537,5531,1277,585
1999273,1005.5343595,978.4883323,106.7056948,5531,1114,339
1999289,577.526883,572.3331075,69.6309852,5531,767,136
1999305,340.4901927,354.8344296,64.7599759,5531,575,81
1999321,256.4312659,268.8728174,56.3447321,5531,444,60
1999337,188.4717175,199.9431199,45.3602643,5531,351,36
1999353,97,103.9940172,25.309782,5531,189,22
2000001,166.5152465,176.5950316,43.3183863,5531,330,40
2000017,16,19.1265755,9.6336539,5531,63,2
2000033,152.4553569,165.5829646,46.8122866,5531,356,31
2000049,333.4736619,353.1755939,75.7438887,5531,622,90
2000065,393.3573837,409.9151118,81.5277109,5531,692,134
2000081,685.4337814,693.3153422,108.5468052,5531,1000,274
2000097,833.4467027,821.2541553,100.7612497,5531,1008,413
2000113,1305.4615469,1272.7187225,125.8262218,5531,1461,628
2000129,1459.5943556,1435.9850143,127.6154013,5531,1681,658
2000145,1507.4504623,1467.9207151,142.9241127,5531,1650,548
2000161,1291.4931444,1272.7958142,120.0962104,5531,1525,500
2000177,1361.5149467,1338.996272,117.7081225,5531,1549,658
2000193,1301.5576706,1271.8847134,110.6647108,5531,1410,666
2000209,1373.6532668,1341.5839888,111.7957253,5531,1506,715
2000225,1409.5844262,1379.4515873,114.5948134,5531,1530,600
2000241,1129.4412649,1099.3100318,104.3051044,5531,1212,537
2000257,1077.5158137,1050.6595429,105.0587891,5531,1172,510
2000273,857.4764601,844.3510219,90.4326606,5531,1054,322
2000289,597.5367831,598.7405463,78.3442467,5531,884,248
2000305,316.5148873,327.9095993,55.6426548,5531,527,152
2000321,152,161.5555303,36.0018059,5531,297,70
2000337,95,103.0804247,26.6283291,5531,203,36
2000353,23,27.4148487,11.8196407,5531,72,7
2001001,87,93.5967531,28.2576238,5531,193,26
2001017,135,144.9199101,40.6057805,5531,292,45
2001033,162.4817565,173.7584685,41.3503059,5531,333,57
2001049,202.5650367,215.7302845,48.9182107,5531,416,72
2001065,324.4643197,329.00273,57.1829323,5531,552,100
