year,n,RBI,peak_Q,ar_1,median,mean,cumulative,q05
1964,366,0.5629238815915585,27.693875966976005,0.49979653111262573,0.9910896307200001,1.6951887949144133,53605938.14830155,0.16211394673920004
1965,365,0.7290055290928306,51.25349233152001,0.34990247286224335,0.7645548579840001,2.0261208009186547,63895745.57777068,0.28316846592000006
1966,365,0.5074908435803087,21.832288722432004,0.3922956400987235,0.538020085248,0.9129428921662424,28790567.047354616,0.0396435852288
1967,365,0.4697445704138779,18.859019830272004,0.5964638502001066,0.5663369318400001,0.9087457924384966,28658207.310340434,0.10760401704960001
1968,366,0.5026893813611915,19.312089375744,0.5860244154355712,0.42475269888000006,0.9063394751862769,28660629.420130525,0.00552178508544
1969,365,0.6215062181798511,26.561202103296004,0.4740508844893728,0.5946537784320001,1.3337878662165463,42062334.14900501,0.19255455682560002
1970,365,0.5547021623951557,23.814467983872003,0.6093875669987676,0.5663369318400001,1.2706940529894892,40072607.65507653,0.037944574433280004
1986,365,0.796163638122933,86.64955057152001,0.4336184130532926,0.20388129546240003,1.2106739752746924,38179814.484262705,0.005153666079744
1987,365,0.48113585852063806,13.818621136896002,0.6656190352990189,0.45306954547200007,0.9131585656827512,28797368.527371246,0.007419013807104001
1988,366,0.7607271360665893,46.722796876800004,0.49053878761449776,0.39643585228800005,1.1116838077225968,35154110.041327044,0.012247036151040001
1989,365,0.66948655591507,48.13863920640001,0.38308877498853144,1.359208636416,2.6062903183678428,82191971.48004828,0.25655063012352003
1990,365,0.6065000908962369,37.94457443328,0.4739101817506956,0.9627727841280002,1.843571012686217,58138855.45607254,0.05946537784320001
1991,365,0.7079145854790724,73.34063267328001,0.481599542471635,0.45306954547200007,1.3520673604467026,42638796.27904721,0.09344559375360001
1992,366,0.734128403405564,92.02975142400001,0.2656899919812821,0.8919806676480002,1.8819794034583084,59512705.487920016,0.084950539776
1993,365,0.7124933782378016,49.554481536000004,0.4953419451606215,0.5946537784320001,1.9785353099758187,62395089.53539742,0.05380200852480001
1994,365,0.5582459815977527,33.980215910400005,0.7212305960559036,0.31148531251200007,1.162720753228169,36667561.67380354,0.0651287471616
1995,365,0.8546436771562751,81.83568665088,0.22252674142760814,0.9910896307200001,2.307776449007027,72778038.0958856,0.07645548579840002
1996,366,0.7137624245278259,130.2574943232,0.20634156627300682,1.359208636416,2.3001248381335087,72735467.68139306,0.15928226208000001
1997,365,0.8000915505672578,81.55251818496001,0.4343739092293449,0.5663369318400001,2.3117206366254854,72902421.99662131,0.05380200852480001
1998,365,0.8425586258838021,109.58619631104001,0.4510741084855496,0.45306954547200007,1.7531913964047152,55288643.87701911,0.043041606819840005
1999,365,0.6816306143549401,69.37627415040001,0.28641940238070096,0.7079211648000001,1.6867903306565157,53194619.86758388,0.048138639206400005
2000,366,0.7782158555775563,40.493090626560004,0.26699534927724344,0.4813863920640001,1.3324159479602362,42134190.07277778,0.14724760227840003
2001,365,0.7076606385294952,33.697047444480006,0.5178178877686528,0.22936645739520004,0.8231040112840453,25957408.09985365,0.046836064263168005
2002,365,0.6927188794154593,44.17428068352001,0.4955059066039217,0.31148531251200007,1.6854412074723106,53152073.91884679,0.022143774034944004
2003,365,0.6577966167323018,73.34063267328001,0.5590670818274668,1.4243373835776,3.4061132269291665,107415186.72443819,0.4626972733132801
2004,366,0.6504429117772039,32.84754204672001,0.40770010885278757,0.7772974389504002,1.4674981377847398,46405813.11228416,0.13188571300224003
2005,365,0.4940837857893306,15.517631932416002,0.6218884722771917,0.4049309062656001,0.844751270748609,26640076.07432814,0.016990107955200003
2006,365,0.7367064959556819,41.90893295616001,0.41191035061480935,0.4332477528576001,1.3164036498211071,41514105.50075843,0.07594578255974402
2007,365,0.48858201587362643,21.181001250816003,0.6497460682690892,0.10647134318592001,0.4840458482315994,15264869.869831719,0.028883183523840006
2008,366,0.7645681576102935,53.80200852480001,0.3004807766804066,0.37661405967360007,1.0815557661067752,34201389.05813489,0.07843766505984001
2009,365,0.631717008029999,42.19210142208001,0.5325656776649785,0.7900400199168001,1.850819349609753,58367439.00929317,0.07079211648000001
2010,365,0.5041737172443084,13.677036903936003,0.4370810340483481,0.2658951894988801,0.5753866856891968,18145394.519894507,0.07175488926412801
2011,365,0.4787570955271576,4.898814460416001,0.6005834612609471,0.24947141847552004,0.4884632762999514,15404177.88139527,0.04870497613824001
2012,366,0.6424963387059547,16.452087869952003,0.5177343435162817,0.28189420782336005,0.757562298981309,23955938.04330655,0.07022577954816002
2013,365,0.5653899643687378,26.221399944192004,0.5687280187538332,0.8126934971904001,1.6048972345084356,50612039.18745802,0.13229630727782404
2014,365,0.5881345941607304,32.5643735808,0.5466639909510298,0.5720003011584001,1.4846282168940574,46819235.447971,0.093275692674048
2015,365,0.6058907704608748,46.722796876800004,0.6350418365528095,0.9118024602624002,2.1452850736139366,67653710.0814891,0.093502227446784
2016,366,0.6938253693987569,46.156459944960005,0.4871441235677819,0.6045646747392002,1.3737446176665602,43441101.797699034,0.09946292365440002
2017,365,0.8995648818613204,92.59608835584001,0.3404134780611014,0.36811900569600003,1.4174637599938982,44701137.13516758,0.09724005119692802
2018,365,0.6357201282454445,61.16438863872001,0.5919973907777258,1.6905157415424004,3.6734188281295332,115844936.16389298,0.12006342955008002
2019,365,0.6176157328579471,78.15449659392002,0.5642561462825422,0.6569508409344,2.4627130448901755,77664118.58365658,0.10109114233344002
