DateTime,1,variable,statistic
1987-07-01T00:00:00Z,61.52946,ppt,MEAN
1987-08-01T00:00:00Z,88.77735,ppt,MEAN
1987-09-01T00:00:00Z,159.18199,ppt,MEAN
1987-10-01T00:00:00Z,67.50103,ppt,MEAN
1987-11-01T00:00:00Z,53.39913,ppt,MEAN
1987-12-01T00:00:00Z,86.99396,ppt,MEAN
1988-01-01T00:00:00Z,79.301476,ppt,MEAN
1988-02-01T00:00:00Z,65.40076,ppt,MEAN
1988-03-01T00:00:00Z,49.718548,ppt,MEAN
1988-04-01T00:00:00Z,83.19645,ppt,MEAN
1988-05-01T00:00:00Z,88.97401,ppt,MEAN
1988-06-01T00:00:00Z,73.44537,ppt,MEAN
1988-07-01T00:00:00Z,53.040955,ppt,MEAN
1988-08-01T00:00:00Z,106.76846,ppt,MEAN
1988-09-01T00:00:00Z,95.37306,ppt,MEAN
1988-10-01T00:00:00Z,123.36402,ppt,MEAN
1988-11-01T00:00:00Z,97.19408,ppt,MEAN
1988-12-01T00:00:00Z,16.637451,ppt,MEAN
1989-01-01T00:00:00Z,36.249664,ppt,MEAN
1989-02-01T00:00:00Z,150.18973,ppt,MEAN
1989-03-01T00:00:00Z,171.24536,ppt,MEAN
1989-04-01T00:00:00Z,104.78785,ppt,MEAN
1989-05-01T00:00:00Z,108.39589,ppt,MEAN
1989-06-01T00:00:00Z,172.71455,ppt,MEAN
1989-07-01T00:00:00Z,169.36568,ppt,MEAN
1989-08-01T00:00:00Z,125.74386,ppt,MEAN
1989-09-01T00:00:00Z,91.651794,ppt,MEAN
1989-10-01T00:00:00Z,122.09693,ppt,MEAN
1989-11-01T00:00:00Z,89.30419,ppt,MEAN
1989-12-01T00:00:00Z,79.709404,ppt,MEAN
1990-01-01T00:00:00Z,82.48168,ppt,MEAN
1990-02-01T00:00:00Z,106.70614,ppt,MEAN
1990-03-01T00:00:00Z,109.21743,ppt,MEAN
1990-04-01T00:00:00Z,79.32773,ppt,MEAN
1990-05-01T00:00:00Z,170.46419,ppt,MEAN
1990-06-01T00:00:00Z,37.610416,ppt,MEAN
1990-07-01T00:00:00Z,77.56434,ppt,MEAN
1990-08-01T00:00:00Z,92.58728,ppt,MEAN
1990-09-01T00:00:00Z,4.435936,ppt,MEAN
1990-10-01T00:00:00Z,227.2177,ppt,MEAN
1990-11-01T00:00:00Z,47.816425,ppt,MEAN
1990-12-01T00:00:00Z,96.57574,ppt,MEAN
1991-01-01T00:00:00Z,129.19307,ppt,MEAN
1991-02-01T00:00:00Z,27.270414,ppt,MEAN
1991-03-01T00:00:00Z,150.2048,ppt,MEAN
1991-04-01T00:00:00Z,57.43904,ppt,MEAN
1991-05-01T00:00:00Z,77.7848,ppt,MEAN
1991-06-01T00:00:00Z,67.30216,ppt,MEAN
1991-07-01T00:00:00Z,149.64273,ppt,MEAN
1991-08-01T00:00:00Z,64.83697,ppt,MEAN
1991-09-01T00:00:00Z,127.48195,ppt,MEAN
1991-10-01T00:00:00Z,44.786568,ppt,MEAN
1991-11-01T00:00:00Z,29.818693,ppt,MEAN
1991-12-01T00:00:00Z,65.33088,ppt,MEAN
1992-01-01T00:00:00Z,101.01344,ppt,MEAN
1992-02-01T00:00:00Z,57.1457,ppt,MEAN
1992-03-01T00:00:00Z,96.47381,ppt,MEAN
1992-04-01T00:00:00Z,66.70416,ppt,MEAN
1992-05-01T00:00:00Z,90.11377,ppt,MEAN
1992-06-01T00:00:00Z,173.31319,ppt,MEAN
1992-07-01T00:00:00Z,66.2089,ppt,MEAN
1992-08-01T00:00:00Z,123.34693,ppt,MEAN
1992-09-01T00:00:00Z,52.14765,ppt,MEAN
1992-10-01T00:00:00Z,105.24085,ppt,MEAN
1992-11-01T00:00:00Z,158.14037,ppt,MEAN
1992-12-01T00:00:00Z,66.1556,ppt,MEAN
1993-01-01T00:00:00Z,128.4901,ppt,MEAN
1993-02-01T00:00:00Z,73.06589,ppt,MEAN
1993-03-01T00:00:00Z,212.32137,ppt,MEAN
1993-04-01T00:00:00Z,110.73049,ppt,MEAN
