date,tmean_med,tmean_mean,tmean_std,tmean_cnt,tmean_max,tmean_min
19810828,21.3620014,21.3750137,0.1455092,8,21.6190014,21.1350002
19810829,22.1720009,22.1768355,0.0718239,8,22.2800007,22.0420017
19810830,22.2380009,22.223025,0.1115622,8,22.3840008,22.0460014
19810831,22.8950005,22.8799733,0.0275882,8,22.9100018,22.828001
19810901,23.5890007,23.605727,0.1552892,8,23.8820019,23.3670006
19810902,24.1380005,24.1447709,0.0796636,8,24.2770004,24.031002
19810903,24.4250011,24.3824293,0.219889,8,24.6330013,23.9260006
19810904,24.2530003,24.26728,0.2784112,8,24.6830006,23.7610016
19810905,22.7120018,22.669891,0.1040147,8,22.7790012,22.4650002
19810906,20.4620018,20.4853613,0.183496,8,20.7270012,20.1400013
19810907,22.0240002,22.0154289,0.0816854,8,22.111002,21.894001
19810908,22.0340004,22.0395629,0.0395267,8,22.1060009,21.9540005
19810909,20.4240017,20.3679884,0.2116669,8,20.6280003,19.9400005
19810910,18.448,18.4193846,0.1691359,8,18.6110001,18.0760002
19810911,19.5960007,19.6153073,0.0650901,8,19.7180004,19.4770012
19810912,22.5550003,22.5540236,0.1603222,8,22.729002,22.2500019
19810913,22.8180008,22.8335594,0.210428,8,23.0890007,22.4290009
19810914,23.4880009,23.4445921,0.1146853,8,23.5620003,23.2200012
19810915,24.5950012,24.5803606,0.0509985,8,24.6620007,24.4990005
19810916,24.6950016,24.6872483,0.1816335,8,24.9080009,24.3140011
19810917,20.0250015,20.0319582,0.0571992,8,20.1060009,19.9430008
19810918,18.1160011,18.1096348,0.1338077,8,18.3130016,17.8070011
19810919,14.3080006,14.3147166,0.0853489,8,14.4460011,14.1160011
19810920,13.7700005,13.730167,0.0731517,8,13.8080006,13.5820007
19810921,16.6110001,16.6127373,0.1588208,8,16.8220005,16.3200016
19810922,18.6380005,18.6162579,0.0794498,8,18.6990013,18.4740009
19810923,20.3520012,20.3645036,0.0550445,8,20.4450016,20.2770004
19810924,13.4000006,13.4332898,0.0860028,8,13.5550003,13.3240004
19810925,13.6950006,13.7221825,0.1639799,8,13.9570007,13.4330006
19810926,15.3010006,15.2943683,0.097378,8,15.4140005,15.1340008
19810927,17.7230015,17.7538197,0.185493,8,17.9880009,17.4330006
19810928,19.9450016,19.9397934,0.0530258,8,20.0290012,19.8480015
19810929,16.4380016,16.4503484,0.0782059,8,16.5820007,16.335001
19810930,15.5430012,15.5421412,0.1722846,8,15.7570009,15.2390003
19811001,19.4360008,19.4482432,0.0776947,8,19.6100006,19.3560009
19811002,22.276001,22.2810779,0.1407125,8,22.4700012,22.0550003
19811003,11.6620007,11.6410846,0.0866613,8,11.7750006,11.4570007
19811004,10.6420002,10.6159753,0.0470303,8,10.6700001,10.5340004
19811005,14.4910011,14.4354938,0.2801771,8,14.8410006,13.9220009
19811006,18.8640003,18.8799618,0.0706097,8,18.9860001,18.7639999
19811007,21.8530006,21.8556345,0.0894997,8,21.9940014,21.7090015
19811008,13.3480005,13.3316654,0.0530186,8,13.4110003,13.2350006
19811009,12.9470005,12.8828369,0.2596388,8,13.2200003,12.3720007
19811010,11.7420006,11.7016863,0.0815011,8,11.8040009,11.5680008
19811011,12.2830009,12.2923845,0.0639384,8,12.4170008,12.2010002
19811012,12.2540007,12.2380207,0.075085,8,12.3370008,12.0980005
19811013,11.7460003,11.7973405,0.1810883,8,12.1710005,11.5500002
19811014,11.4050007,11.4079993,0.1290215,8,11.6220007,11.2010002
19811015,12.7480001,12.780658,0.0711609,8,12.9260006,12.7130003
19811016,13.5100002,13.511475,0.0743614,8,13.6390009,13.3890009
19811017,14.7110004,14.7326989,0.046912,8,14.8300009,14.6870003
19811018,13.1890011,13.1746945,0.1253446,8,13.4130011,12.9730005
19811019,15.5570011,15.5863772,0.2041958,8,15.9380007,15.2240009
19811020,6.5730004,6.5650191,0.0649476,8,6.6490002,6.4390001
19811021,8.7030001,8.71239,0.120957,8,8.8870001,8.4920006
19811022,11.6270008,11.5710064,0.2215315,8,11.8690004,11.1720009
19811023,15.1080008,15.1299015,0.084208,8,15.3010006,14.9960003
19811024,12.1500006,12.1515456,0.3068533,8,12.5110006,11.5810003
19811025,6.9720001,6.8052518,0.4061372,8,7.2090001,5.9420004
19811026,7.8610005,7.8773667,0.0589808,8,7.9710002,7.8070002
