date,GPP_med,GPP_mean,GPP_std,GPP_cnt,GPP_max,GPP_min
1998017,150.4977695,163.2570921,45.6915334,101320,350,5
1998033,152.4951637,164.9619243,47.6160793,101320,346,0
1998049,301.5097681,319.1868644,87.9216497,101320,657,0
1998065,225.4536137,235.4481943,58.2517946,101320,527,0
1998081,603.516204,608.8759541,109.8877262,101320,1321,18
1998097,979.5819426,924.0352439,150.4861923,101320,1439,45
1998113,1299.5596876,1220.608997,207.0660966,101320,1678,124
1998129,1323.5706559,1246.6689209,193.7064665,101320,1736,167
1998145,1379.4895339,1308.8928219,195.8465027,101320,1928,189
1998161,1275.5633114,1233.8574095,166.4347553,101320,1996,225
1998177,1203.5519819,1175.5381641,156.9430347,101320,1903,223
1998193,1115.6294163,1082.8892748,141.7737233,101320,1741,183
1998209,1259.525362,1210.2474255,157.7021861,101320,1838,220
1998225,1187.5513344,1147.8070023,146.8725756,101320,1719,206
1998241,1091.6220776,1052.7066727,143.0841212,101320,1557,146
1998257,1019.5802248,967.6209472,152.77023,101320,1423,101
1998273,867.5336562,816.2396368,141.0169454,101320,1118,68
1998289,613.4908918,602.4043172,101.6551462,101320,903,67
1998305,289.4799306,296.9174151,64.1554561,101320,580,33
1998321,313.4813127,334.474272,84.3869689,101320,750,25
1998337,229.4935555,244.3691422,60.568009000000004,101320,547,15
1998353,87,93.4550556,25.7341455,101320,226,0
1999001,110.4805895,120.3593361,34.60736,101320,298,0
1999017,241.4631513,260.2106121,73.2723474,101320,568,0
1999033,229.5380851,248.153227,78.2489503,101320,527,0
1999049,188.4888031,205.4596945,63.5905309,101320,443,0
1999065,289.4582284,302.3998983,65.3103335,101320,623,0
1999081,747.5537452,709.1537236,124.6139598,101320,1297,37
1999097,1091.5002485,1035.6995971,167.8403144,101320,1683,84
1999113,1139.4984943,1069.3338191,181.4572606,101320,1434,99
1999129,1491.5366288,1396.1902083,231.2899195,101320,1878,207
1999145,1451.5076686,1387.2150966,197.1771878,101320,2147,247
1999161,1387.5505986,1303.7375854,204.8119928,101320,1755,179
1999177,1227.5234565,1169.1929798,165.1757339,101320,1738,165
1999193,1227.5783039,1185.2245703,168.708187,101320,1940,144
1999209,1075.4716271,1103.7148584,173.8719343,101320,1846,166
1999225,1211.4801232,1157.7763616,167.6933032,101320,1664,141
1999241,1163.5513533,1101.710864,160.5349454,101320,1556,106
1999257,1179.5729279,1108.1232893,185.7518696,101320,1500,107
1999273,1027.6120649,961.2876235,168.7476124,101320,1413,79
1999289,605.5296804,584.2054347,104.424236,101320,1001,51
1999305,361.4652626,373.7204218,84.5771605,101320,769,33
1999321,261.4637072,277.0726659,71.7747924,101320,593,21
1999337,192.5198671,207.5276007,58.5745292,101320,427,24
1999353,102,110.3226413,31.9596559,101320,227,9
2000001,172.4941276,186.3153356,54.9451858,101320,397,0
2000017,19,24.4397748,13.8891,101320,107,0
2000033,172.5036771,186.4989149,62.618834,101320,432,0
2000049,353.5067699,374.3757537,100.497077,101320,769,0
2000065,413.4806281,437.9276909,108.1113337,101320,956,44
2000081,723.5574798,718.7391429,132.9752357,101320,1351,67
2000097,875.4971304,831.5223785,140.7833862,101320,1411,74
2000113,1315.5066261,1238.7608756,202.0441811,101320,1841,106
2000129,1451.5661743,1376.8837927,202.8797176,101320,2086,192
2000145,1499.5282507,1412.6474099,222.430151,101320,1992,188
2000161,1299.5626363,1241.7434692,177.6375843,101320,1886,179
2000177,1363.5489433,1297.46953,182.2274304,101320,1971,177
2000193,1299.629083,1223.331803,184.6534173,101320,1869,150
2000209,1371.5941297,1294.7686188,187.1154714,101320,1875,146
2000225,1419.5449536,1342.0724621,185.5444499,101320,1977,163
