date,tmax_med,tmax_mean,tmax_std,tmax_cnt,tmax_max,tmax_min
19811129,15.7749996,15.7731832,0.0423052,8,15.8430004,15.7180004
19811130,11.3529997,11.3410741,0.0533419,8,11.4040003,11.2200003
19811201,9.3109999,9.149133,0.4541155,8,9.698,8.0699997
19811202,11.1610003,11.0272478,0.4311094,8,11.4639997,10.0109997
19811203,17.6439991,17.5809573,0.4335069,8,18.0550003,16.5569992
19811204,13.8009996,13.7749955,0.1999104,8,14.0810003,13.349
19811205,8.4390001,8.4444938,0.1599357,8,8.6459999,8.0880003
19811206,9.6140003,9.5650916,0.2125441,8,9.908,9.2089996
19811207,10.6730003,10.614618,0.3648568,8,11.3050003,10.0810003
19811208,16.2320004,16.1539047,0.2572303,8,16.3519993,15.5019999
19811209,17.1259995,17.0761226,0.2963461,8,17.5090008,16.4449997
19811210,5.533,5.4719392,0.18701,8,5.6700001,5.039
19811211,3.7809999,3.7491085,0.1299199,8,3.8940001,3.447
19811212,6.7220001,6.7113019,0.1574998,8,6.9860001,6.4580002
19811213,7.7309999,7.7297648,0.0587979,8,7.7789998,7.585
19811214,9.6110001,9.5958644,0.0757965,8,9.658,9.4049997
19811215,5.2729998,5.1171348,1.0218722,8,6.9879999,3.7880001
19811216,4.0500002,4.0205703,0.1566613,8,4.2750001,3.7119999
