date,stage_cm,discharge_m3s,notes
1969-02-21,37.77428925,0.24176761215889073,NA
1969-02-22,36.6748429,0.21934106511073326,NA
1969-02-26,35.50036209,0.19703018387113663,NA
1969-02-27,36.605415,0.21797554637853722,NA
1969-02-28,41.7520499,0.33628138685506836,NA
1969-03-01,45.61366132,0.45010783713074937,NA
1969-03-02,119.6546359,10.806772213499158,above RC
1969-03-03,65.46536781,1.4807328292068747,NA
1969-03-04,50.95615203,0.6484079517155652,NA
1969-03-05,42.96577663,0.3695882418049704,NA
1969-03-06,40.4004018,0.301716734922462,NA
1969-03-07,38.10685168,0.24885382778083923,NA
1969-03-08,47.66435396,0.5203093283054911,NA
1969-03-09,108.9357348,7.931648722709931,above RC
1969-03-10,91.94645736,4.536059899146931,above RC
1969-03-11,64.48767725,1.4090918381464752,NA
1969-03-12,54.01724017,0.7858669175232867,NA
1969-03-13,42.81664214,0.36537711529403083,NA
1969-03-15,38.68881258,0.2616002329955156,NA
1969-03-15,36.39432803,0.2138602349044833,NA
1969-03-16,35.47765552,0.19661514520771786,NA
1969-03-19,35.49167192,0.19687126987663112,NA
1969-03-20,43.85320158,0.39534844306093936,NA
1969-03-21,55.52428341,0.860469045155706,NA
1969-03-22,51.39551942,0.6670171919156608,NA
1969-03-23,43.77442942,0.3930127718422971,NA
1969-03-24,39.09360619,0.2707298055070854,NA
1969-03-25,37.0765529,0.22735917794464816,NA
1969-03-26,35.61249328,0.19908870936823228,NA
1969-03-28,44.16333777,0.4046383027342647,NA
1969-03-29,54.18011073,0.7937033356858479,NA
1969-03-30,67.87104913,1.6677503066985362,NA
1969-04-01,42.70768799,0.36232177617119093,NA
1969-04-02,39.95767047,0.2909560886484401,NA
1969-04-03,37.94061719,0.24529389109650712,NA
1969-04-04,35.46522765,0.19638824230780888,NA
1969-04-06,33.26726937,0.15905259147250422,NA
1969-04-09,32.81827738,0.15208669537983074,NA
1969-04-10,30.25009928,0.11626729119335302,NA
1969-04-11,28.233046,0.09261612726613523,NA
1969-04-12,27.3201112,0.08310721046361824,NA
1969-04-14,25.30773004,0.0645836995914997,NA
1969-04-15,23.38346532,0.04976593730596396,NA
1969-04-16,27.79713598,0.08798626735638496,NA
1969-04-19,27.89833438,0.08904639555833815,NA
1969-04-20,25.88408438,0.06955914021468422,NA
1969-04-22,26.44268461,0.07463025910709391,NA
1969-04-23,27.64052608,0.08636304105753807,NA
1969-04-24,25.62440722,0.06728559982069345,NA
1969-04-25,27.28151938,0.08272092968860843,NA
1969-04-27,50.43623706,0.6268580087212373,NA
1969-04-28,37.02833649,0.22638617194066615,NA
1969-04-29,35.56240802,0.198167392848594,NA
1969-05-04,35.30740299,0.19352258896614674,NA
1969-05-12,35.34010793,0.19411401016790056,NA
1969-05-17,35.36159974,0.19450334304201503,NA
1969-05-19,36.65596748,0.21896923235264412,NA
1969-05-20,31.60679328,0.1343549903774313,NA
1969-05-21,25.27166118,0.0642808357451356,NA
1969-05-22,23.25460789,0.04886780686660638,NA
1969-05-24,24.64082977,0.05914242255852281,NA
1969-05-25,26.20608779,0.07245200738491692,NA
1969-05-26,24.64830518,0.05920157680945975,NA
1969-05-29,25.57805966,0.06688533337032189,NA
1969-05-30,24.66605929,0.05934223340191501,NA
1969-05-31,30.82215525,0.12367232806383528,NA
1969-06-01,37.71588759,0.24053787576205327,NA
1969-06-02,32.66858224,0.149812311909169,NA
1969-06-03,31.56913589,0.13382814222743372,NA
1969-06-04,28.17427056,0.0919821954062238,NA
1969-06-05,23.21975378,0.048626829411459245,NA
1969-06-06,25.51984489,0.0663849332127286,NA
1969-06-07,29.65701871,0.10892216351038742,NA
1969-06-08,31.31319644,0.13028546450818557,NA
1969-06-09,28.19482795,0.09220357556843499,NA
1969-06-10,25.81129255,0.06891651544662228,NA
1969-06-12,27.28749971,0.08278070711420465,NA
1969-06-13,38.04097461,0.24743878543578987,NA
1969-06-14,31.24844068,0.12939959111696753,NA
1969-06-15,28.68026257,0.09753971304832466,NA
1969-06-16,25.28352839,0.06438037316123006,NA
1969-06-17,21.88772864,0.04002366481443937,NA
1969-06-18,19.87067536,0.02910275793534836,NA
1969-06-19,23.55138178,0.05095347859136771,NA
1969-06-20,21.99359918,0.0406652537733117,NA
1969-06-21,20.34396244,0.03145042047737726,NA
1969-06-23,21.08627094,0.03539341658599094,NA
1969-06-24,26.3256944,0.07354755975524525,NA
1969-06-25,24.0330787,0.054469518015772794,NA
1969-06-26,22.84364707,0.04607887310322999,NA
1969-06-30,22.49398463,0.04379488377868325,NA
1969-07-03,22.32055505,0.042691851342647774,NA
1969-07-04,21.86502208,0.03988698443175193,NA
1969-07-05,20.21631976,0.03080474818407585,NA
1969-07-07,17.65281379,0.019703177527741,NA
1969-07-09,15.82414091,0.013740672307274123,NA
1969-07-10,21.7056089,0.03893654797242325,NA
1969-07-11,28.04821641,0.09063282141204701,NA
1969-07-12,30.71572406,0.1222704439492001,NA
1969-07-14,31.55082113,0.1335724293038153,NA
1969-07-16,31.74480809,0.13629824843209384,NA
1969-07-18,32.85359871,0.15262683356147705,NA
1969-07-19,34.87999626,0.1859084971918242,NA
1969-07-21,32.03812461,0.1404930381273239,NA
1969-07-22,43.80012615,0.3937736455541368,NA
1969-07-23,55.4684047,0.8576183366108999,NA
1969-07-24,49.68906954,0.596769558793768,NA
1969-07-25,40.13810825,0.29530880553253064,NA
1969-07-26,36.19024926,0.20993331124808406,NA
1969-07-27,34.26598454,0.17533891464983864,NA
1969-07-28,36.10773939,0.20835999989269038,NA
